113,Kentavious Caldwell-Pope,Lal,10.7,2.1,1.3
114,Khem Birch,Orl,4.8,5,1.4
115,Khris Middleton,Mil,20.3,6.9,6
116,Kristaps Porzingis,Dal,23.7,8.7,0.7
117,Kyle Korver,Mil,6.2,0.9,0.1
118,Kyle Kuzma,Lal,10,3.1,0.8
119,Kyle Lowry,Tor,17.7,6.5,5.8
120,Kyle O'Quinn,Phi,0,1,1
121,Lance Thomas,Bro,1.3,1,0
122,Landry Shamet,Lac,5.2,1.7,1.3
123,LeBron James,Lal,27.6,10.8,8.8
124,Lou Williams,Lac,12.8,3.2,4.2
125,Luguentz Dort,Okc,12.5,3.7,1
126,Luka Doncic,Dal,31,9.8,8.7
127,Malcolm Brogdon,Ind,21.5,4.3,10
128,Malcolm Miller,Tor,3,0,0
129,Marc Gasol,Tor,6,4.4,2.6
130,Marcus Morris Sr.,Lac,11.8,4.8,1.6
131,Marcus Smart,Bos,14.5,5.2,4.6
132,Mario Hezonja,Por,4.6,3,1.2
133,Markelle Fultz,Orl,12,2.2,5.2
134,Markieff Morris,Lal,5.9,3,1
135,Marvin Williams,Mil,5.5,4.8,0.9
136,Mason Plumlee,Den,2.4,3.2,1.3
137,Matisse Thybulle,Phi,1.8,1.8,0.5
138,Matt Thomas,Tor,3.1,1.4,0.7
139,Maxi Kleber,Dal,6.7,6.5,1.5
140,Meyers Leonard,Mia,4.7,0.3,1
141,Michael Frazier,Hou,0.8,1,0.5
142,Michael Kidd-Gilchrist,Dal,2.3,1,0.5
143,Michael Porter Jr.,Den,11.4,6.7,0.8
144,Mike Conley,Uta,19.8,2.8,5.2
145,Mike Muscala,Okc,1.5,2,0.5
146,Mike Scott,Phi,1.5,2,0.3
147,Miye Oni,Uta,3.5,2,0
148,Monte Morris,Den,9.1,1.5,2.7
149,Montrezl Harrell,Lac,10.5,2.9,0.4
150,Myles Turner,Ind,15.8,10.8,0.8
151,Nerlens Noel,Okc,3,4.1,0.4
152,Nigel Williams-Goss,Uta,0,0,1
153,Nikola Jokic,Den,24.4,9.8,5.7
154,Nikola Vucevic,Orl,28,11,4
155,Noah Vonleh,Den,0,0,0
156,Norman Powell,Tor,13.4,2.4,1
